instruction,intent,category,tags,response
there are charges on my phone bill that i do not recogniae challenge it,dispute_invoice,BILLING,BCELQZ,"If you have noticed discrepancies in your bill and wish to contest them, please adhere to the following steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will review your submission and get back to you within {{DAYS_NUMBER}} business days."
"my internet bill is incorrect, can you help me dispute it ?",dispute_invoice,BILLING,BCILZ,"If there is an issue with your bill and you would like to formally dispute it, please adhere to the following steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will review your submission and get back to you within {{DAYS_NUMBER}} business days."
my invoice is not corect challenge it,dispute_invoice,BILLING,BCELQZ,"If you find any discrepancies in your invoice and wish to contest it, please adhere to the following steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will thoroughly examine your request and respond within {{DAYS_NUMBER}} business days."
"I don't recognize some charges on my bill, can you help me appeal it?",dispute_invoice,BILLING,BCIL,"If you have found charges on your bill that you believe are inaccurate and wish to dispute them, please adhere to the following steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will review your submission and get back to you within {{DAYS_NUMBER}} business days."
i have to dispute a fucking bill i need help,dispute_invoice,BILLING,BCQW,"If you believe there is an error on your bill and would like to initiate a dispute, please follow these steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will review your submission and get back to you within {{DAYS_NUMBER}} business days."
"there are charges on my ingernet bill that I don't recognize, appeal it",dispute_invoice,BILLING,BCLZ,"If you have noticed unfamiliar charges on your internet bill and wish to contest them, please adhere to the following steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will review your submission and get back to you within {{DAYS_NUMBER}} business days."
"there are charges on  my invoice that I don't recognize, help me challenging it",dispute_invoice,BILLING,BCLZ,"If you believe there are unfamiliar charges on your bill and wish to contest them, please adhere to the following steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will review your submission and respond within {{DAYS_NUMBER}} business days."
"I'd like to appeal a fucking bill, where can I do it?",dispute_invoice,BILLING,BCILPW,"If you believe there is an error on your bill and wish to contest it, please adhere to the following steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will review your submission and get back to you within {{DAYS_NUMBER}} business days."
"I got to dispute a phone bill, I need help",dispute_invoice,BILLING,BCL,"If you believe your phone bill contains discrepancies and you wish to challenge it, please adhere to the following steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will review your submission and get back to you within {{DAYS_NUMBER}} business days."
there are charges on my bill that i do not recognize could ya help me challenging it,dispute_invoice,BILLING,BCEILPQ,"If you have found discrepancies in your bill that you wish to contest, please follow these steps:

1. Log in to your account on {{WEBSITE_URL}}.
2. Navigate to the {{INVOICE_SECTION}} section.
3. Select the bill you wish to dispute.
4. Click on the {{DISPUTE_INVOICE_OPTION}} to dispute the charge.
5. Fill in the required information and submit your dispute.

Our team will review your submission and get back to you within {{DAYS_NUMBER}} business days."
